1,3,IN,100,2024-05-25
2,3,OUT,5,2024-06-02
3,3,OUT,3,2024-06-03
4,3,OUT,20,2024-06-01
5,1,IN,3807,2024-05-15
6,2,IN,4212,2024-05-15
7,3,IN,3827,2024-05-15
8,4,IN,4025,2024-05-15
9,5,IN,4117,2024-05-15
10,6,IN,4230,2024-05-15
11,7,IN,4225,2024-05-15
12,8,IN,3760,2024-05-15
13,9,IN,3767,2024-05-15
14,10,IN,3817,2024-05-15
15,11,IN,3800,2024-05-15
16,12,IN,3982,2024-05-15
17,13,IN,3900,2024-05-15
18,14,IN,3970,2024-05-15
19,15,IN,3940,2024-05-15
20,16,IN,4207,2024-05-15
21,17,IN,3835,2024-05-15
22,18,IN,4125,2024-05-15
23,19,IN,4045,2024-05-15
24,20,IN,4302,2024-05-15
25,1,OUT,2,2024-04-01
26,1,OUT,1,2024-04-01
27,1,OUT,1,2024-04-01
28,1,OUT,3,2024-04-01
29,2,OUT,2,2024-04-01
30,2,OUT,2,2024-04-01
31,2,OUT,3,2024-04-01
32,2,OUT,1,2024-04-01
33,2,OUT,1,2024-04-01
34,2,OUT,2,2024-04-01
35,3,OUT,3,2024-04-01
36,4,OUT,3,2024-04-01
37,4,OUT,1,2024-04-01
38,5,OUT,3,2024-04-01
39,6,OUT,3,2024-04-01
40,6,OUT,3,2024-04-01
41,6,OUT,3,2024-04-01
42,6,OUT,2,2024-04-01
43,7,OUT,3,2024-04-01
44,7,OUT,2,2024-04-01
45,8,OUT,1,2024-04-01
46,8,OUT,3,2024-04-01
47,8,OUT,1,2024-04-01
48,8,OUT,2,2024-04-01
49,9,OUT,2,2024-04-01
50,9,OUT,1,2024-04-01
51,10,OUT,2,2024-04-01
52,10,OUT,3,2024-04-01
53,10,OUT,1,2024-04-01
54,11,OUT,3,2024-04-01
55,11,OUT,3,2024-04-01
56,11,OUT,2,2024-04-01
57,11,OUT,2,2024-04-01
58,12,OUT,1,2024-04-01
59,12,OUT,1,2024-04-01
60,12,OUT,1,2024-04-01
61,12,OUT,1,2024-04-01
62,13,OUT,2,2024-04-01
63,13,OUT,1,2024-04-01
64,13,OUT,3,2024-04-01
65,13,OUT,3,2024-04-01
66,14,OUT,2,2024-04-01
67,14,OUT,2,2024-04-01
68,14,OUT,3,2024-04-01
69,14,OUT,1,2024-04-01
70,15,OUT,2,2024-04-01
71,15,OUT,2,2024-04-01
72,15,OUT,1,2024-04-01
73,15,OUT,2,2024-04-01
74,16,OUT,3,2024-04-01
75,16,OUT,3,2024-04-01
76,17,OUT,3,2024-04-01
77,17,OUT,3,2024-04-01
78,18,OUT,1,2024-04-01
79,18,OUT,3,2024-04-01
80,18,OUT,2,2024-04-01
81,19,OUT,1,2024-04-01
82,19,OUT,1,2024-04-01
83,19,OUT,3,2024-04-01
84,20,OUT,2,2024-04-01
85,20,OUT,3,2024-04-01
86,20,OUT,1,2024-04-01
87,1,OUT,3,2024-04-02
88,1,OUT,2,2024-04-02
89,2,OUT,2,2024-04-02
90,2,OUT,3,2024-04-02
91,2,OUT,1,2024-04-02
92,2,OUT,2,2024-04-02
93,3,OUT,2,2024-04-02
94,4,OUT,3,2024-04-02
95,5,OUT,2,2024-04-02
96,5,OUT,1,2024-04-02
97,5,OUT,3,2024-04-02
98,6,OUT,3,2024-04-02
