1,1,17,1,11000.00
2,2,18,2,20.00
3,2,13,1,12000.00
4,3,10,4,300.00
5,3,20,4,750.00
6,4,3,1,18000.00
7,5,11,4,800.00
8,5,3,2,18000.00
9,5,6,3,300.00
10,6,11,3,800.00
11,6,15,4,900.00
12,6,6,2,300.00
13,7,4,1,15.00
14,7,3,3,18000.00
15,8,17,2,11000.00
16,8,9,4,6000.00
17,9,4,1,15.00
18,10,3,1,18000.00
19,11,3,3,18000.00
20,11,5,3,1200.00
21,12,7,4,80.00
22,12,12,1,400.00
23,13,15,1,900.00
24,13,16,2,9000.00
25,13,8,1,600.00
26,14,16,3,9000.00
27,14,12,3,400.00
28,14,5,3,1200.00
29,15,5,3,1200.00
30,15,18,1,20.00
31,15,3,1,18000.00
32,16,11,2,800.00
33,16,3,1,18000.00
34,17,20,1,750.00
35,18,3,3,18000.00
36,18,16,1,9000.00
37,18,6,1,300.00
38,19,15,2,900.00
39,19,5,2,1200.00
40,20,9,1,6000.00
41,21,14,4,2500.00
42,22,5,4,1200.00
43,23,8,2,600.00
44,24,20,4,750.00
45,25,3,4,18000.00
46,26,11,4,800.00
47,26,3,1,18000.00
48,27,6,3,300.00
49,27,13,2,12000.00
50,27,17,2,11000.00
51,28,7,2,80.00
52,28,6,1,300.00
53,29,8,2,600.00
54,29,11,3,800.00
55,29,7,4,80.00
56,30,17,2,11000.00
57,31,11,3,800.00
58,31,15,4,900.00
59,32,20,4,750.00
60,32,17,2,11000.00
61,33,11,1,800.00
62,33,4,1,15.00
63,34,12,1,400.00
64,34,20,3,750.00
65,34,6,4,300.00
66,35,8,3,600.00
67,36,1,3,25.00
68,37,18,3,20.00
69,38,5,3,1200.00
70,38,9,3,6000.00
71,38,1,1,25.00
72,39,4,3,15.00
73,39,5,3,1200.00
74,40,5,3,1200.00
75,40,4,2,15.00
76,40,9,1,6000.00
77,41,11,2,800.00
78,42,20,2,750.00
79,42,7,4,80.00
80,43,13,3,12000.00
81,43,12,1,400.00
82,43,11,1,800.00
83,44,15,2,900.00
84,44,11,2,800.00
85,45,1,3,25.00
86,45,13,2,12000.00
87,46,7,1,80.00
88,47,3,1,18000.00
89,48,8,3,600.00
90,48,11,2,800.00
91,49,6,1,300.00
92,50,10,4,300.00
93,50,4,4,15.00
94,50,8,3,600.00
95,51,5,2,1200.00
96,51,20,3,750.00
97,52,19,2,10000.00
98,53,13,4,12000.00
99,53,8,3,600.00
100,53,12,3,400.00
101,54,7,2,80.00
102,54,19,3,10000.00
103,54,5,4,1200.00
104,55,6,4,300.00
105,55,14,4,2500.00
106,55,4,2,15.00
107,56,7,1,80.00
108,56,10,2,300.00
109,57,1,2,25.00
110,57,7,2,80.00
111,58,17,3,11000.00
112,59,4,1,15.00
113,59,8,2,600.00
114,60,18,3,20.00
115,61,20,1,750.00
116,61,2,4,450.00
117,61,13,1,12000.00
118,62,19,3,10000.00
119,62,9,3,6000.00
120,62,17,1,11000.00
121,63,4,4,15.00
122,64,18,3,20.00
123,65,10,1,300.00
124,65,15,1,900.00
125,66,9,1,6000.00
